split,model,n,MAE,RMSE,R2
random_seed_0,reference_total_yield_rf,558,571.5267861382378,779.3341281381257,0.9930870095768306
random_seed_0,corrected_per_hectare_rf,558,558.058725374135,757.2087404896355,0.9934739589389049
random_seed_1,reference_total_yield_rf,558,592.5676005486271,838.335878205428,0.9916967738235075
random_seed_1,corrected_per_hectare_rf,558,570.1214786217605,800.1649852575276,0.9924356807817767
random_seed_2,reference_total_yield_rf,558,637.7797121695207,893.6211089915103,0.9907971598134382
random_seed_2,corrected_per_hectare_rf,558,609.7270994885847,847.7549503173921,0.9917176093443232
random_seed_3,reference_total_yield_rf,558,567.8084544368454,814.9705314941007,0.9920230976761627
random_seed_3,corrected_per_hectare_rf,558,549.7613128058301,784.6279453195216,0.992606024498945
random_seed_4,reference_total_yield_rf,558,615.0412917101025,856.4777637852466,0.9909080637053183
random_seed_4,corrected_per_hectare_rf,558,604.2058682718085,852.5223646368859,0.9909918468411056
